Decimal,Subfleet,Alpha Tag,Mode,Description,Tag,Category,Priority,Stream List
5,,SC Air 1,D,SC Air 1,Emergency Ops,SC Interoperability,99,
10,,SC Reg Govt 5,D,Regional Govt 5,Interop,SC Interoperability,99,
11,,SC Reg Govt 6,D,Regional Govt 6,Interop,SC Interoperability,99,
12,,SC LE Comm 5,D,LE Common 5,Law Tac,SC Interoperability,99,
13,,SC LE Comm 6,D,LE Common 6,Law Tac,SC Interoperability,99,
500,,LISH FD Admn,D,Ladys Island St Helena FD Admin,Fire-Tac,Beaufort County,99,
502,,LISH FD Ops1,D,Ladys Island St Helena FD Ops 1,Fire-Tac,Beaufort County,99,
504,,LISH FD Ops2,D,Ladys Island St Helena FD Ops 2,Fire-Tac,Beaufort County,99,
508,,Fripp Is FD,D,Fripp Island FD Admin,Fire-Tac,Beaufort County,99,
509,,Fripp Is FD,D,Fripp Island FD Ops 1,Fire Dispatch,Beaufort County,99,
516,,BFD Admin,DE,Beaufort FD Admin,Fire-Tac,Beaufort County,99,
518,,BFD Ops 1,DE,Beaufort FD Ops 1,Fire-Tac,Beaufort County,99,
520,,BFD Ops 2,D,Beaufort FD Ops 2,Fire-Tac,Beaufort County,99,
526,,Brtn FD Ops1,DE,Burton FD Ops 1,Fire-Tac,Beaufort County,99,
532,,Shldn FD Adm,D,Sheldon FD Admin,Fire-Tac,Beaufort County,99,
534,,Shldn FD Op1,D,Sheldon FD Ops 1,Fire-Tac,Beaufort County,99,
542,,Blftn FD Adm,D,Bluffton FD Admin,Fire-Tac,Beaufort County,99,
544,,Blftn FD Op1,D,Bluffton FD Ops 1,Fire-Tac,Beaufort County,99,
545,,Blftn FD Op4,D,Bluffton FD Ops 4,Fire-Tac,Beaufort County,99,
546,,Blftn FD Op2,D,Bluffton FD Ops 2,Fire-Tac,Beaufort County,99,
550,,HHI FR Disp,D,Hilton Head Island FireRescue Dispatch,Fire Dispatch,Beaufort County,99,
552,,HHI FR Tac1,D,Hilton Head Island FireRescue Tac 1,Fire-Tac,Beaufort County,99,
553,,HHI FR Tac2,D,Hilton Head Island FireRescue Tac 2,Fire-Tac,Beaufort County,99,
554,,HHI FR Tac3,D,Hilton Head Island FireRescue Tac 3,Fire-Tac,Beaufort County,99,
556,,HHI Bch Ptrl,D,Hilton Head Island Beach Patrol,EMS-Tac,Beaufort County,99,
